,author,date,description,format,genre,pages,publisher,rating,title,url
101,Blake Crouch,[],"Jason Dessen is walking home through the chilly Chicago streets one night, looking forward to a quiet evening in front of the fireplace with his wife, Daniela, and their son, Charliewhen his reality shatters.It starts with a man in a mask kidnapping him at gunpoint, for reasons Jason cant begin to fathomwhat would anyone want with an ordinary physics professor?and grows
Jason Dessen is walking home through the chilly Chicago streets one night, looking forward to a quiet evening in front of the fireplace with his wife, Daniela, and their son, Charlie—when his reality shatters.It starts with a man in a mask kidnapping him at gunpoint, for reasons Jason can’t begin to fathom—what would anyone want with an ordinary physics professor?—and grows even more terrifying from there, as Jason’s abductor injects him with some unknown drug and watches while he loses consciousness.When Jason awakes, he’s in a lab, strapped to a gurney—and a man he’s never seen before is cheerily telling him “welcome back!”Jason soon learns that in this world he’s woken up to, his house is not his house. His wife is not his wife. His son was never born.And someone is hunting him.",Hardcover,Science Fiction,342,['by Crown'],4.10,Dark Matter,https://www.goodreads.com/book/show/27833670-dark-matter?from_choice=true
102,Claudia Gray,['May 3rd 2016'],"Witness the birth of the ResistanceWhen the Rebellion defeated the Empire in the skies above Endor, Leia Organa believed it was the beginning to a lasting peace. But after decades of vicious infighting and partisan gridlock in the New Republic Senate, that hope seems like a distant memory.Now a respected senator, Leia must grapple with the dangers that threaten to cripple
Witness the birth of the ResistanceWhen the Rebellion defeated the Empire in the skies above Endor, Leia Organa believed it was the beginning to a lasting peace. But after decades of vicious infighting and partisan gridlock in the New Republic Senate, that hope seems like a distant memory.Now a respected senator, Leia must grapple with the dangers that threaten to cripple the fledgling democracy—from both within and without. Underworld kingpins, treacherous politicians, and Imperial loyalists are sowing chaos in the galaxy. Desperate to take action, senators are calling for the election of a First Senator. It is their hope that this influential post will bring strong leadership to a divided galaxy. As the daughter of Darth Vader, Leia faces with distrust the prospect of any one person holding such a powerful position—even when supporters suggest Leia herself for the job. But a new enemy may make this path Leia’s only option. For at the edges of the galaxy, a mysterious threat is growing...",Hardcover,Media Tie In,332,['by LucasBooks'],4.06,Bloodline,https://www.goodreads.com/book/show/25733885-bloodline?from_choice=true
103,Terry Pratchett,['June 30th 2016'],"2070-71. Nearly six decades after Step Day and in the Long Earth, the new Next post-human society continues to evolve. For Joshua Valienté, now in his late sixties, it is time to take one last solo journey into the High Meggers: an adventure that turns into a disaster. Alone and facing death, his only hope of salvation lies with a group of trolls. But as Joshua confronts
2070-71. Nearly six decades after Step Day and in the Long Earth, the new Next post-human society continues to evolve. For Joshua Valienté, now in his late sixties, it is time to take one last solo journey into the High Meggers: an adventure that turns into a disaster. Alone and facing death, his only hope of salvation lies with a group of trolls. But as Joshua confronts his mortality, the Long Earth receives a signal from the stars. A signal that is picked up by radio astronomers but also in more abstract ways – by the trolls and by the Great Traversers. Its message is simple but ts implications are enormous:JOIN US.The super-smart Next realise that the Message contains instructions on how to develop an immense artificial intelligence but to build it they have to seek help from throughout the industrious worlds of mankind. Bit by bit, byte by byte, they assemble a computer the size of a continent – a device that will alter the Long Earth’s place within the cosmos and reveal the ultimate, life-affirming goal of those who sent the Message. Its impact will be felt by and resonate with all – mankind and other species, young and old, communities and individuals – who inhabit the Long Earths…",Hardcover,Science Fiction,377,['by Harper'],3.88,The Long Cosmos,https://www.goodreads.com/book/show/25859268-the-long-cosmos?from_choice=true
104,Julie McElwain,['April 11th 2016'],"Beautiful and brilliant, Kendra Donovan is a rising star at the FBI. Yet her path to professional success hits a speed bump during a disastrous raid where half her team is murdered, a mole in the FBI is uncovered and she herself is severely wounded. As soon as she recovers, she goes rogue and travels to England to assassinate the man responsible for the deaths of her
Beautiful and brilliant, Kendra Donovan is a rising star at the FBI. Yet her path to professional success hits a speed bump during a disastrous raid where half her team is murdered, a mole in the FBI is uncovered and she herself is severely wounded. As soon as she recovers, she goes rogue and travels to England to assassinate the man responsible for the deaths of her teammates.While fleeing from an unexpected assassin herself, Kendra escapes into a stairwell that promises sanctuary but when she stumbles out again, she is in the same place - Aldrich Castle - but in a different time: 1815, to be exact.Mistaken for a lady's maid hired to help with weekend guests, Kendra is forced to quickly adapt to the time period until she can figure out how she got there; and, more importantly, how to get back home. However, after the body of a girl is found on the extensive grounds of the county estate, she starts to feel there's some purpose to her bizarre circumstances. Stripped of her twenty-first century tools, Kendra must use her wits alone in order to unmask a cunning madman.",Hardcover,Mystery,498,['by Pegasus Books'],3.75,A Murder in Time,https://www.goodreads.com/book/show/25790952-a-murder-in-time?from_choice=true
105,Sylvain Neuvel,['April 26th 2016'],"A girl named Rose is riding her new bike near home in Deadwood, South Dakota, when she falls through the earth. She wakes up at the bottom of a square-shaped hole, its walls glowing with intricate carvings. But the firemen who come to save her peer down upon something even stranger: a little girl in the palm of a giant metal hand.Seventeen years later, the mystery of the
A girl named Rose is riding her new bike near home in Deadwood, South Dakota, when she falls through the earth. She wakes up at the bottom of a square-shaped hole, its walls glowing with intricate carvings. But the firemen who come to save her peer down upon something even stranger: a little girl in the palm of a giant metal hand.Seventeen years later, the mystery of the bizarre artifact remains unsolved - the object's origins, architects, and purpose unknown.But some can never stop searching for answers.Rose Franklin is now a highly trained physicist leading a top-secret team to crack the hand's code. And along with her colleagues, she is being interviewed by a nameless interrogator whose power and purview are as enigmatic as the relic they seek. What's clear is that Rose and her compatriots are on the edge of unravelling history's most perplexing discovery-and finally figuring out what it portends for humanity. But once the pieces of the puzzle are in place, will the result be an instrument of lasting peace or a weapon of mass destruction?",Hardcover,Science Fiction,320,['by Del Rey'],3.84,Sleeping Giants,https://www.goodreads.com/book/show/25733990-sleeping-giants?from_choice=true
106,Alexandra Oliva,[],"Survival is the name of the game as the line blurs between reality TV and reality itself in Alexandra Olivas fast-paced novel of suspense.She wanted an adventure. She never imagined it would go this far. It begins with a reality TV show. Twelve contestants are sent into the woods to face challenges that will test the limits of their endurance. While they are out there,
Survival is the name of the game as the line blurs between reality TV and reality itself in Alexandra Oliva’s fast-paced novel of suspense.She wanted an adventure. She never imagined it would go this far. It begins with a reality TV show. Twelve contestants are sent into the woods to face challenges that will test the limits of their endurance. While they are out there, something terrible happens—but how widespread is the destruction, and has it occurred naturally or is it human-made? Cut off from society, the contestants know nothing of it. When one of them—a young woman the show’s producers call Zoo—stumbles across the devastation, she can imagine only that it is part of the game. Alone and disoriented, Zoo is heavy with doubt regarding the life—and husband—she left behind, but she refuses to quit. Staggering countless miles across unfamiliar territory, Zoo must summon all her survival skills—and learn new ones as she goes. But as her emotional and physical reserves dwindle, she grasps that the real world might have been altered in terrifying ways—and her ability to parse the charade will be either her triumph or her undoing. Sophisticated and provocative, The Last One is a novel that forces us to confront the role that media plays in our perception of what is real: how readily we cast our judgments, how easily we are manipulated.",Hardcover,Fiction,304,['by Ballantine Books'],3.62,The Last One,https://www.goodreads.com/book/show/27245997-the-last-one?from_choice=true
107,Jodi Taylor,['May 19th 2016'],"'I've done some stupid things in my time. I've been reckless. I've broken a few rules. But never before have I ruined so many lives or left such a trail of destruction behind me.'As Max would be the first to admit, she's never been one for rules. They tend to happen to other people. But this time she's gone too far and everyone is paying the price.Grounded until the end of
'I've done some stupid things in my time. I've been reckless. I've broken a few rules. But never before have I ruined so many lives or left such a trail of destruction behind me.'As Max would be the first to admit, she's never been one for rules. They tend to happen to other people. But this time she's gone too far and everyone is paying the price.Grounded until the end of time, how can she ever put things right?",Paperback,Science Fiction,397,['by Accent Press'],4.42,"Lies, Damned Lies, and History",https://www.goodreads.com/book/show/26308512-lies-damned-lies-and-history?from_choice=true
108,Ben H. Winters,[],"A young black man calling himself Victor has struck a bargain with federal law enforcement, working as a bounty hunter for the US Marshall Service in exchange for his freedom. He's got plenty of work. In this version of America, slavery continues in four states called ""the Hard Four."" On the trail of a runaway known as Jackdaw, Victor arrives in Indianapolis knowing that
A young black man calling himself Victor has struck a bargain with federal law enforcement, working as a bounty hunter for the US Marshall Service in exchange for his freedom. He's got plenty of work. In this version of America, slavery continues in four states called ""the Hard Four."" On the trail of a runaway known as Jackdaw, Victor arrives in Indianapolis knowing that something isn't right--with the case file, with his work, and with the country itself.As he works to infiltrate the local cell of a abolitionist movement called the Underground Airlines, tracking Jackdaw through the back rooms of churches, empty parking garages, hotels, and medical offices, Victor believes he's hot on the trail. But his strange, increasingly uncanny pursuit is complicated by a boss who won't reveal the extraordinary stakes of Jackdaw's case, as well as by a heartbreaking young woman and her child--who may be Victor's salvation.Victor believes himself to be a good man doing bad work, unwilling to give up the freedom he has worked so hard to earn. But in pursuing Jackdaw, Victor discovers secrets at the core of the country's arrangement with the Hard Four, secrets the government will preserve at any cost.Underground Airlines is a ground-breaking novel, a wickedly imaginative thriller, and a story of an America that is more like our own than we'd like to believe.",Hardcover,Fiction,336,['by Mulholland Books'],3.83,Underground Airlines,https://www.goodreads.com/book/show/23208397-underground-airlines?from_choice=true
109,Connie Willis,"['October 4th 2016', 'September 20th 2016)']","Science fiction icon Connie Willis brilliantly mixes a speculative plot, the wit of Nora Ephron, and the comedic flair of P. G. Wodehouse in Crosstalk a genre-bending novel that pushes social media, smartphone technology, and twenty-four-hour availability to hilarious and chilling extremes as one young woman abruptly finds herself with way more connectivity than she ever
Science fiction icon Connie Willis brilliantly mixes a speculative plot, the wit of Nora Ephron, and the comedic flair of P. G. Wodehouse in Crosstalk a genre-bending novel that pushes social media, smartphone technology, and twenty-four-hour availability to hilarious and chilling extremes as one young woman abruptly finds herself with way more connectivity than she ever desired.In the not-too-distant future, a simple outpatient procedure to increase empathy between romantic partners has become all the rage. And Briddey Flannigan is delighted when her boyfriend, Trent, suggests undergoing the operation prior to a marriage proposal - to enjoy better emotional connection and a perfect relationship with complete communication and understanding. But things don't quite work out as planned, and Briddey finds herself connected to someone else entirely - in a way far beyond what she signed up for.It is almost more than she can handle - especially when the stress of managing her all-too-eager-to-communicate-at-all-times family is already burdening her brain. But that's only the beginning. As things go from bad to worse, she begins to see the dark side of too much information, and to realize that love - and communication - are far more complicated than she ever imagined.",Hardcover,Science Fiction,498,['by Del Rey'],3.52,Crosstalk,https://www.goodreads.com/book/show/25430566-crosstalk?from_choice=true
110,Lois McMaster Bujold,"['February 2nd 2016', 'February 1st 2016)']","Cordelia Naismith Vorkosigan returns to the planet that changed her destiny.FUTURE IMPERFECT Three years after her famous husband's death, Cordelia Vorkosigan, widowed Vicereine of Sergyar, stands ready to spin her life in a new direction. Oliver Jole, Admiral, Sergyar Fleet, finds himself caught up in her web of plans in ways he'd never imagined, bringing him to an
Cordelia Naismith Vorkosigan returns to the planet that changed her destiny.FUTURE IMPERFECT Three years after her famous husband's death, Cordelia Vorkosigan, widowed Vicereine of Sergyar, stands ready to spin her life in a new direction. Oliver Jole, Admiral, Sergyar Fleet, finds himself caught up in her web of plans in ways he'd never imagined, bringing him to an unexpected crossroads in his life. Meanwhile, Miles Vorkosigan, one of Emperor Gregor's key investigators, this time dispatches himself on a mission of inquiry, into a mystery he never anticipated; his own mother. Plans, wills, and expectations collide in this sparkling science-fiction social comedy, as the impact of galactic technology on the range of the possible changes all the old rules, and Miles learns that not only is the future not what he expects, neither is the past.",Hardcover,Science Fiction,344,['by Baen'],3.81,Gentleman Jole and the Red Queen,https://www.goodreads.com/book/show/25814184-gentleman-jole-and-the-red-queen?from_choice=true
111,Liu Cixin,"['September 20th 2016', 'November 2010)']","Half a century after the Doomsday Battle, the uneasy balance of Dark Forest Deterrence keeps the Trisolaran invaders at bay. Earth enjoys unprecedented prosperity due to the infusion of Trisolaran knowledge. With human science advancing daily and the Trisolarans adopting Earth culture, it seems that the two civilizations will soon be able to co-exist peacefully as equals
Half a century after the Doomsday Battle, the uneasy balance of Dark Forest Deterrence keeps the Trisolaran invaders at bay. Earth enjoys unprecedented prosperity due to the infusion of Trisolaran knowledge. With human science advancing daily and the Trisolarans adopting Earth culture, it seems that the two civilizations will soon be able to co-exist peacefully as equals without the terrible threat of mutually assured annihilation. But the peace has also made humanity complacent.Cheng Xin, an aerospace engineer from the early twenty-first century, awakens from hibernation in this new age. She brings with her knowledge of a long-forgotten program dating from the beginning of the Trisolar Crisis, and her very presence may upset the delicate balance between two worlds. Will humanity reach for the stars or die in its cradle?",Hardcover,Science Fiction,604,['by TOR'],4.44,Death's End,https://www.goodreads.com/book/show/25451264-death-s-end?from_choice=true
112,Lindsay Buroker,"['June 10th 2016', 'May 26th 2016)']","The Alliance has toppled the tyrannical empire. It should be a time for celebration, but not for fighter pilot Captain Alisa Marchenko. After barely surviving a crash in the final battle for freedom, she's stranded on a dustball of a planet, billions of miles from her young daughter. She has no money or resources, and there are no transports heading to Perun, her former
The Alliance has toppled the tyrannical empire. It should be a time for celebration, but not for fighter pilot Captain Alisa Marchenko. After barely surviving a crash in the final battle for freedom, she's stranded on a dustball of a planet, billions of miles from her young daughter. She has no money or resources, and there are no transports heading to Perun, her former home and the last imperial stronghold.But she has a plan.Steal a dilapidated and malfunctioning freighter from a junkyard full of lawless savages. Slightly suicidal, but she believes she can do it. Her plan, however, does not account for the elite cyborg soldier squatting in the freighter, intending to use it for his own purposes. As an imperial soldier, he has no love for Alliance pilots. In fact, he's quite fond of killing them.Alisa has more problems than she can count, but she can't let cyborgs, savages, or ancient malfunctioning ships stand in her way. If she does, she’ll never see her daughter again.",Paperback,Science Fiction,228,['by Createspace Independent Publishing Platform'],3.98,Star Nomad,https://www.goodreads.com/book/show/31667137-star-nomad?from_choice=true
113,Ada Palmer,['May 10th 2016'],"Mycroft Canner is a convict. For his crimes he is required, as is the custom of the 25th century, to wander the world being as useful as he can to all he meets. Carlyle Foster is a sensayer--a spiritual counselor in a world that has outlawed the public practice of religion, but which also knows that the inner lives of humans cannot be wished away.The world into which
Mycroft Canner is a convict. For his crimes he is required, as is the custom of the 25th century, to wander the world being as useful as he can to all he meets. Carlyle Foster is a sensayer--a spiritual counselor in a world that has outlawed the public practice of religion, but which also knows that the inner lives of humans cannot be wished away.The world into which Mycroft and Carlyle have been born is as strange to our 21st-century eyes as ours would be to a native of the 1500s. It is a hard-won utopia built on technologically-generated abundance, and also on complex and mandatory systems of labeling all public writing and speech. What seem to us normal gender distinctions are now distinctly taboo in most social situations. And most of the world's population is affiliated with globe-girdling clans of the like-minded, whose endless economic and cultural competition is carefully managed by central planners of inestimable subtlety. To us it seems like a mad combination of heaven and hell. To them, it seems like normal life.And in this world, Mycroft and Carlyle have stumbled on the wild card that may destablize the system: the boy Bridger, who can effortlessly make his wishes come true. Who can, it would seem, bring inanimate objects to life...",Hardcover,Science Fiction,432,['by Tor Books'],3.82,Too Like the Lightning,https://www.goodreads.com/book/show/26114545-too-like-the-lightning?from_choice=true
114,Becky Chambers,['October 20th 2016'],"Lovelace was once merely a ship's artificial intelligence. When she wakes up in an new body, following a total system shut-down and reboot, she has no memory of what came before. As Lovelace learns to negotiate the universe and discover who she is, she makes friends with Pepper, an excitable engineer, who's determined to help her learn and grow.Together, Pepper and Lovey
Lovelace was once merely a ship's artificial intelligence. When she wakes up in an new body, following a total system shut-down and reboot, she has no memory of what came before. As Lovelace learns to negotiate the universe and discover who she is, she makes friends with Pepper, an excitable engineer, who's determined to help her learn and grow.Together, Pepper and Lovey will discover that no matter how vast space is, two people can fill it together.The Long Way to a Small, Angry Planet introduced readers to the incredible world of Rosemary Harper, a young woman with a restless soul and secrets to keep. When she joined the crew of the Wayfarer, an intergalactic ship, she got more than she bargained for - and learned to live with, and love, her rag-tag collection of crewmates.A Closed and Common Orbit is the stand-alone sequel to Becky Chambers' beloved debut novel The Long Way to a Small, Angry Planet and is perfect for fans of Firefly, Joss Whedon, Mass Effect and Star Wars.",Hardcover,Science Fiction,365,['by Hodder & Stoughton'],4.33,A Closed and Common Orbit,https://www.goodreads.com/book/show/29475447-a-closed-and-common-orbit?from_choice=true
115,Marcus Sakey,['January 12th 2016'],"The explosive conclusion to the bestselling Brilliance TrilogyFor thirty years humanity struggled to cope with the brilliants, the one percent of people born with remarkable gifts. For thirty years we tried to avoid a devastating civil war.We failed.The White House is a smoking ruin. Madison Square Garden is an internment camp. In Wyoming, an armed militia of thousands
The explosive conclusion to the bestselling Brilliance TrilogyFor thirty years humanity struggled to cope with the brilliants, the one percent of people born with remarkable gifts. For thirty years we tried to avoid a devastating civil war.We failed.The White House is a smoking ruin. Madison Square Garden is an internment camp. In Wyoming, an armed militia of thousands marches toward a final, apocalyptic battle.Nick Cooper has spent his life fighting for his children and his country. Now, as the world staggers on the edge of ruin, he must risk everything he loves to face his oldest enemy—a brilliant terrorist so driven by his ideals that he will sacrifice humanity’s future to achieve them.",Paperback,Science Fiction,337,['by Thomas & Mercer'],4.19,Written in Fire,https://www.goodreads.com/book/show/25828674-written-in-fire?from_choice=true
116,Peter F. Hamilton,['September 27th 2016'],"The planet Bienvenido is in crisis. It has finally escaped the Void, emerging into regular space. But it's millions of light-years from Commonwealth assistance, and humans are battling the Fallers for control of their world. This rapacious adversary, evolved to destroy all sentient life, has infiltrated every level of human society - hijacking unwilling bodies so its
The planet Bienvenido is in crisis. It has finally escaped the Void, emerging into regular space. But it's millions of light-years from Commonwealth assistance, and humans are battling the Fallers for control of their world. This rapacious adversary, evolved to destroy all sentient life, has infiltrated every level of human society - hijacking unwilling bodies so its citizens fear their leaders, friends and family.A mysterious figure known as the Warrior Angel leads a desperate resistance. She's helped by forbidden Commonwealth technology, which gives her a crucial edge. But the government obstructs the Angel's efforts at every turn, blinded by prejudice and technophobia. As Fallers also prepare to attack from the skies, she might need to incite rebellion to fight this invasion. But the odds seem impossible.Then astronaut Ry Evine uncovers one last hope. On a mission against the enemy, his spacecraft damages an unidentified vessel. This crash-lands on the planet carrying unexpected cargo: a baby. This extraordinary Commonwealth child possesses knowledge that could save them all. But if the Fallers catch her, the people of Bienvenido will not survive.",Hardcover,Science Fiction,704,['by Del Rey'],4.42,A Night Without Stars,https://www.goodreads.com/book/show/28439513-a-night-without-stars?from_choice=true
117,Jennifer Foehner Wells,['March 11th 2016'],"In defiance of NASA, Jane Holloway, the linguist of the Providence expedition, commandeers the alien ship that crew explored. She sets off to return that ships marooned navigator to his home world, determined to discover who was behind the genocide that destroyed his original crew.  But when she gets there, she finds his world devastated by the same plague. The remaining
In defiance of NASA, Jane Holloway, the linguist of the Providence expedition, commandeers the alien ship that crew explored. She sets off to return that ship’s marooned navigator to his home world, determined to discover who was behind the genocide that destroyed his original crew.  But when she gets there, she finds his world devastated by the same plague. The remaining members of his race, uniquely gifted at navigating the stars, are stranded across the galaxy. And someone, it seems, doesn’t want those lost navigators to be found.  As Jane unravels the mystery of the plague and works to ensure the survival of Ei’Brai’s race, she discovers that the life of every sentient being in the galaxy may be in jeopardy…and the clock is ticking.",Paperback,Science Fiction,490,['by Blue Bedlam Science Fiction'],4.06,Remanence,https://www.goodreads.com/book/show/25329437-remanence?from_choice=true
118,Yoon Ha Lee,['June 14th 2016'],"The first installment of the trilogy, Ninefox Gambit, centers on disgraced captain Kel Cheris, who must recapture the formidable Fortress of Scattered Needles in order to redeem herself in front of the Hexarchate.To win an impossible war Captain Kel Cheris must awaken an ancient weapon and a despised traitor general.Captain Kel Cheris of the hexarchate is disgraced for
The first installment of the trilogy, Ninefox Gambit, centers on disgraced captain Kel Cheris, who must recapture the formidable Fortress of Scattered Needles in order to redeem herself in front of the Hexarchate.To win an impossible war Captain Kel Cheris must awaken an ancient weapon and a despised traitor general.Captain Kel Cheris of the hexarchate is disgraced for using unconventional methods in a battle against heretics. Kel Command gives her the opportunity to redeem herself by retaking the Fortress of Scattered Needles, a star fortress that has recently been captured by heretics. Cheris’s career isn’t the only thing at stake. If the fortress falls, the hexarchate itself might be next.Cheris’s best hope is to ally with the undead tactician Shuos Jedao. The good news is that Jedao has never lost a battle, and he may be the only one who can figure out how to successfully besiege the fortress.The bad news is that Jedao went mad in his first life and massacred two armies, one of them his own. As the siege wears on, Cheris must decide how far she can trust Jedao–because she might be his next victim.",Paperback,Science Fiction,319,['by Solaris'],3.82,Ninefox Gambit,https://www.goodreads.com/book/show/27276118-ninefox-gambit?from_choice=true
119,William Hertling,"['June 23rd 2016', 'June 18th 2016)']","By day, Angie, a twenty-year veteran of the tech industry, is a data analyst at Tomo, the world's largest social networking company; by night, she exploits her database access to profile domestic abusers and kill the worst of them. She can't change her own traumatic past, but she can save other women. When Tomo introduces a deceptive new product that preys on users' fears
By day, Angie, a twenty-year veteran of the tech industry, is a data analyst at Tomo, the world's largest social networking company; by night, she exploits her database access to profile domestic abusers and kill the worst of them. She can't change her own traumatic past, but she can save other women. When Tomo introduces a deceptive new product that preys on users' fears to drive up its own revenue, Angie sees Tomo for what it really is--another evil abuser. Using her coding and hacking expertise, she decides to destroy Tomo by building a new social network that is completely distributed, compartmentalized, and unstoppable. If she succeeds, it will be the end of all centralized power in the Internet. But how can an anti-social, one-armed programmer with too many dark secrets succeed when the world's largest tech company is out to crush her and a no-name government black ops agency sets a psychopath to look into her growing digital footprint?""",Paperback,Science Fiction,306,['by Liquididea Press'],4.08,Kill Process,https://www.goodreads.com/book/show/30806103-kill-process?from_choice=true
120,Joe Hill,['May 17th 2016'],"From the award-winning, New York Times bestselling author of NOS4A2 and Heart-Shaped Box comes a chilling novel about a worldwide pandemic of spontaneous combustion that threatens to reduce civilization to ashes and a band of improbable heroes who battle to save it, led by one powerful and enigmatic man known as the Fireman.The fireman is coming. Stay cool.No one knows
From the award-winning, New York Times bestselling author of NOS4A2 and Heart-Shaped Box comes a chilling novel about a worldwide pandemic of spontaneous combustion that threatens to reduce civilization to ashes and a band of improbable heroes who battle to save it, led by one powerful and enigmatic man known as the Fireman.The fireman is coming. Stay cool.No one knows exactly when it began or where it originated. A terrifying new plague is spreading like wildfire across the country, striking cities one by one: Boston, Detroit, Seattle. The doctors call it Draco Incendia Trychophyton. To everyone else it’s Dragonscale, a highly contagious, deadly spore that marks its hosts with beautiful black and gold marks across their bodies—before causing them to burst into flames. Millions are infected; blazes erupt everywhere. There is no antidote. No one is safe.Harper Grayson, a compassionate, dedicated nurse as pragmatic as Mary Poppins, treated hundreds of infected patients before her hospital burned to the ground. Now she’s discovered the telltale gold-flecked marks on her skin. When the outbreak first began, she and her husband, Jakob, had made a pact: they would take matters into their own hands if they became infected. To Jakob’s dismay, Harper wants to live—at least until the fetus she is carrying comes to term. At the hospital, she witnessed infected mothers give birth to healthy babies and believes hers will be fine too. . . if she can live long enough to deliver the child.Convinced that his do-gooding wife has made him sick, Jakob becomes unhinged, and eventually abandons her as their placid New England community collapses in terror. The chaos gives rise to ruthless Cremation Squads—armed, self-appointed posses roaming the streets and woods to exterminate those who they believe carry the spore. But Harper isn’t as alone as she fears: a mysterious and compelling stranger she briefly met at the hospital, a man in a dirty yellow fire fighter’s jacket, carrying a hooked iron bar, straddles the abyss between insanity and death. Known as The Fireman, he strolls the ruins of New Hampshire, a madman afflicted with Dragonscale who has learned to control the fire within himself, using it as a shield to protect the hunted . . . and as a weapon to avenge the wronged.In the desperate season to come, as the world burns out of control, Harper must learn the Fireman’s secrets before her life—and that of her unborn child—goes up in smoke.",Hardcover,Horror,752,['by William Morrow'],3.90,The Fireman,https://www.goodreads.com/book/show/25816688-the-fireman?from_choice=true
121,Dot Hutchison,"['June 1st 2016', 'April 26th 2016)']","Near an isolated mansion lies a beautiful garden.In this garden grow luscious flowers, shady treesand a collection of precious butterfliesyoung women who have been kidnapped and intricately tattooed to resemble their namesakes. Overseeing it all is the Gardener; a brutal, twisted man obsessed with capturing and preserving his lovely specimens.When the garden is discovered,
Near an isolated mansion lies a beautiful garden.In this garden grow luscious flowers, shady trees…and a collection of precious “butterflies”—young women who have been kidnapped and intricately tattooed to resemble their namesakes. Overseeing it all is the Gardener; a brutal, twisted man obsessed with capturing and preserving his lovely specimens.When the garden is discovered, a survivor is brought in for questioning. FBI agents Victor Hanoverian and Brandon Eddison are tasked with piecing together one of the most stomach-churning cases of their careers. But the girl, known only as Maya, proves to be a puzzle herself.As her story twists and turns, slowly shedding light on life in the Butterfly Garden, Maya reveals old grudges, new saviors, and horrific tales of a man who’d go to any length to hold beauty captive. But the more she shares, the more the agents have to wonder what she’s still hiding…",Paperback,Thriller,276,['by Thomas & Mercer'],4.04,The Butterfly Garden,https://www.goodreads.com/book/show/27383717-the-butterfly-garden?from_choice=true
122,Justin Cronin,"['May 24th 2016', 'March 24th 2016)']","The world we knew is gone. What world will rise in its place? The Twelve have been destroyed and the terrifying hundred-year reign of darkness that descended upon the world has ended. The survivors are stepping outside their walls, determined to build society anewand daring to dream of a hopeful future. But far from them, in a dead metropolis, he waits: Zero. The First.
The world we knew is gone. What world will rise in its place? The Twelve have been destroyed and the terrifying hundred-year reign of darkness that descended upon the world has ended. The survivors are stepping outside their walls, determined to build society anew—and daring to dream of a hopeful future. But far from them, in a dead metropolis, he waits: Zero. The First. Father of the Twelve. The anguish that shattered his human life haunts him, and the hatred spawned by his transformation burns bright. His fury will be quenched only when he destroys Amy—humanity’s only hope, the Girl from Nowhere who grew up to rise against him. One last time light and dark will clash, and at last Amy and her friends will know their fate.",Hardcover,Horror,602,['by Ballantine Books'],4.20,The City of Mirrors,https://www.goodreads.com/book/show/26891429-the-city-of-mirrors?from_choice=true
123,Lisa Unger,['June 7th 2016'],"In this explosive psychological thriller by New York Times bestselling author Lisa Unger, a young womans mysterious gift forces her into the middle of a dangerous investigation of a little girls disappearance.For as long as she can remember, twenty-year-old Finley Montgomery has been able to see into the future. She dreams about events before they occur and sees beyond the
In this explosive psychological thriller by New York Times bestselling author Lisa Unger, a young woman’s mysterious gift forces her into the middle of a dangerous investigation of a little girl’s disappearance.For as long as she can remember, twenty-year-old Finley Montgomery has been able to see into the future. She dreams about events before they occur and sees beyond the physical world, unconsciously using her power to make supernatural things happen.But Finley can’t control these powers—and there’s only one person who can help. So Finley moves to The Hollows, a small town in upstate New York where her grandmother lives, a renowned seer who can finally teach Finley how to use her gift.A gift that is proving to be both a blessing and a curse, as Finley lands in the middle of a dangerous investigation involving a young girl who has been missing for ten months and the police have all but given up hope.With time running out there’s only so much Finley can do as The Hollows begins to reveal its true colors. As she digs deeper into the town and its endless layers, nothing is what it seems. But one thing is clear: The Hollows gets what it wants, no matter what.",Hardcover,Mystery,342,['by Gallery Books'],3.75,Ink and Bone,https://www.goodreads.com/book/show/27276336-ink-and-bone?from_choice=true
124,Dan Wells,['May 3rd 2016'],"John and Brooke are on their own, hitchhiking from town to town as they hunt the last of the Withered through the midwest but the Withered are hunting them back, and the FBI is close behind. With each new town, each new truck stop, each new highway, they get closer to a vicious killer who defies every principle of profiling and prediction John knows how to use, and
John and Brooke are on their own, hitchhiking from town to town as they hunt the last of the Withered through the midwest— but the Withered are hunting them back, and the FBI is close behind. With each new town, each new truck stop, each new highway, they get closer to a vicious killer who defies every principle of profiling and prediction John knows how to use, and meanwhile Brooke’s fractured psyche teeters on the edge of oblivion, overwhelmed by the hundreds of thousands of dead personalities sharing her mind. She flips in and out of lucidity, manifesting new names and thoughts and memories every day, until at last the one personality pops up that John never expected and has no idea how to deal with. The last of Nobody’s victims, trapped forever in the body of his last remaining friend.",Paperback,Horror,303,['by Tor Books'],4.09,Over Your Dead Body,https://www.goodreads.com/book/show/23629836-over-your-dead-body?from_choice=true
