,title,author,description,genre,rating,publisher,pages,format,date,url
96,The Future of Another Timeline,Annalee Newitz,"From Annalee Newitz, founding editor of io9, comes a story of time travel, murder, and the lengths we'll go to protect the ones we love.1992: After a confrontation at a riot grrl concert, seventeen-year-old Beth finds herself in a car with her friend's abusive boyfriend dead in the backseat, agreeing to help her friends hide the body. This murder sets Beth and her friends
From Annalee Newitz, founding editor of io9, comes a story of time travel, murder, and the lengths we'll go to protect the ones we love.1992: After a confrontation at a riot grrl concert, seventeen-year-old Beth finds herself in a car with her friend's abusive boyfriend dead in the backseat, agreeing to help her friends hide the body. This murder sets Beth and her friends on a path of escalating violence and vengeance as they realize many other young women in the world need protecting too.2022: Determined to use time travel to create a safer future, Tess has dedicated her life to visiting key moments in history and fighting for change. But rewriting the timeline isn’t as simple as editing one person or event. And just when Tess believes she's found a way to make an edit that actually sticks, she encounters a group of dangerous travelers bent on stopping her at any cost.Tess and Beth’s lives intertwine as war breaks out across the timeline--a war that threatens to destroy time travel and leave only a small group of elites with the power to shape the past, present, and future. Against the vast and intricate forces of history and humanity, is it possible for a single person’s actions to echo throughout the timeline?",Science Fiction,3.78,Tor Books,352,Hardcover,"September 24th, 2019",https://www.goodreads.com/book/show/43263237-the-future-of-another-timeline?from_choice=true
97,Here and Now and Then,Mike Chen,"To save his daughter, hell go anywhereand any-whenKin Stewart is an everyday family man: working in IT, trying to keep the spark in his marriage, struggling to connect with his teenage daughter, Miranda. But his current life is a far cry from his previous careeras a time-traveling secret agent from 2142.Stranded in suburban San Francisco since the 1990s after a botched
To save his daughter, he’ll go anywhere—and any-when…Kin Stewart is an everyday family man: working in IT, trying to keep the spark in his marriage, struggling to connect with his teenage daughter, Miranda. But his current life is a far cry from his previous career…as a time-traveling secret agent from 2142.Stranded in suburban San Francisco since the 1990s after a botched mission, Kin has kept his past hidden from everyone around him, despite the increasing blackouts and memory loss affecting his time-traveler’s brain. Until one afternoon, his “rescue” team arrives—eighteen years too late.Their mission: return Kin to 2142, where he’s only been gone weeks, not years, and where another family is waiting for him. A family he can’t remember.Torn between two lives, Kin is desperate for a way to stay connected to both. But when his best efforts threaten to destroy the agency and even history itself, his daughter’s very existence is at risk. It’ll take one final trip across time to save Miranda—even if it means breaking all the rules of time travel in the process.A uniquely emotional genre-bending debut, Here and Now and Then captures the perfect balance of heart, playfulness, and imagination, offering an intimate glimpse into the crevices of a father’s heart and its capacity to stretch across both space and time to protect the people that mean the most.",Science Fiction,3.77,Mira Books,336,Hardcover,"January 29th, 2019",https://www.goodreads.com/book/show/39217756-here-and-now-and-then?from_choice=true
98,Children of Ruin,Adrian Tchaikovsky,"The astonishing sequel to Children of Time, the award-winning novel of humanity's battle for survival on a terraformed planet.Thousands of years ago, Earth's terraforming program took to the stars. On the world they called Nod, scientists discovered alien life - but it was their mission to overwrite it with the memory of Earth. Then humanity's great empire fell, and the
The astonishing sequel to Children of Time, the award-winning novel of humanity's battle for survival on a terraformed planet.Thousands of years ago, Earth's terraforming program took to the stars. On the world they called Nod, scientists discovered alien life - but it was their mission to overwrite it with the memory of Earth. Then humanity's great empire fell, and the program's decisions were lost to time.Aeons later, humanity and its new spider allies detected fragmentary radio signals between the stars. They dispatched an exploration vessel, hoping to find cousins from old Earth.But those ancient terraformers woke something on Nod better left undisturbed.And it's been waiting for them.For more from Adrian Tchaikovsky, check out:Children of Time",Science Fiction,4.07,Orbit,571,Paperback,"May 14th, 2019",https://www.goodreads.com/book/show/41716930-children-of-ruin?from_choice=true
99,The Light Brigade,Kameron Hurley,"From the Hugo Awardwinning author of The Stars Are Legion comes a brand-new science fiction thriller about a futuristic war during which soldiers are broken down into light in order to get them to the front lines on Mars.They said the war would turn us into light.  I wanted to be counted among the heroes who gave us this better world.  The Light Brigade: its what soldiers
From the Hugo Award­­–winning author of The Stars Are Legion comes a brand-new science fiction thriller about a futuristic war during which soldiers are broken down into light in order to get them to the front lines on Mars.They said the war would turn us into light.  I wanted to be counted among the heroes who gave us this better world.  The Light Brigade: it’s what soldiers fighting the war against Mars call the ones who come back…different. Grunts in the corporate corps get busted down into light to travel to and from interplanetary battlefronts. Everyone is changed by what the corps must do in order to break them down into light. Those who survive learn to stick to the mission brief—no matter what actually happens during combat. Dietz, a fresh recruit in the infantry, begins to experience combat drops that don’t sync up with the platoon’s. And Dietz’s bad drops tell a story of the war that’s not at all what the corporate brass want the soldiers to think is going on. Is Dietz really experiencing the war differently, or is it combat madness? Trying to untangle memory from mission brief and survive with sanity intact, Dietz is ready to become a hero—or maybe a villain; in war it’s hard to tell the difference. A worthy successor to classic stories like Downbelow Station, Starship Troopers, and The Forever War, The Light Brigade is award-winning author Kameron Hurley’s gritty time-bending take on the future of war.",Science Fiction,3.97,Saga Press,356,Hardcover,"March 19th, 2019",https://www.goodreads.com/book/show/40523931-the-light-brigade?from_choice=true
100,The Institute,Stephen King,"In the middle of the night, in a house on a quiet street in suburban Minneapolis, intruders silently murder Luke Ellis's parents and load him into a black SUV. The operation takes less than two minutes. Luke will wake up at The Institute, in a room that looks just like his own, except theres no window. And outside his door are other doors, behind which are other kids with
In the middle of the night, in a house on a quiet street in suburban Minneapolis, intruders silently murder Luke Ellis's parents and load him into a black SUV. The operation takes less than two minutes. Luke will wake up at The Institute, in a room that looks just like his own, except there’s no window. And outside his door are other doors, behind which are other kids with special talents—telekinesis and telepathy—who got to this place the same way Luke did: Kalisha, Nick, George, Iris, and ten-year-old Avery Dixon. They are all in Front Half. Others, Luke learns, graduated to Back Half, “like the roach motel,” Kalisha says. “You check in, but you don’t check out.”In this most sinister of institutions, the director, Mrs. Sigsby, and her staff are ruthlessly dedicated to extracting from these children the force of their extranormal gifts. There are no scruples here. If you go along, you get tokens for the vending machines. If you don’t, punishment is brutal. As each new victim disappears to Back Half, Luke becomes more and more desperate to get out and get help. But no one has ever escaped from the Institute.As psychically terrifying as Firestarter, and with the spectacular kid power of It, The Institute is Stephen King’s gut-wrenchingly dramatic story of good vs. evil in a world where the good guys don’t always win.",Horror,4.21,Scribner,561,Hardcover,"September 10th, 2019",https://www.goodreads.com/book/show/43798285-the-institute?from_choice=true
101,Imaginary Friend,Stephen Chbosky,"Imagine... Leaving your house in the middle of the night. Knowing your mother is doing her best, but she's just as scared as you.Imagine... Starting a new school, making friends. Seeing how happy it makes your mother. Hearing a voice, calling out to you.Imagine... Following the signs, into the woods. Going missing for six days. Remembering nothing about what happened.
Imagine... Leaving your house in the middle of the night. Knowing your mother is doing her best, but she's just as scared as you.Imagine... Starting a new school, making friends. Seeing how happy it makes your mother. Hearing a voice, calling out to you.Imagine... Following the signs, into the woods. Going missing for six days. Remembering nothing about what happened.Imagine... Something that will change everything... And having to save everyone you love.",Horror,3.50,Grand Central Publishing,705,Hardcover,"October 1st, 2019",https://www.goodreads.com/book/show/43522576-imaginary-friend?from_choice=true
102,The Girl in Red,Christina Henry,"From the national bestselling author of Alice comes a postapocalyptic take on the perennial classic ""Little Red Riding Hood""...about a woman who isn't as defenseless as she seems.It's not safe for anyone alone in the woods. There are predators that come out at night: critters and coyotes, snakes and wolves. But the woman in the red jacket has no choice. Not since the
From the national bestselling author of Alice comes a postapocalyptic take on the perennial classic ""Little Red Riding Hood""...about a woman who isn't as defenseless as she seems.It's not safe for anyone alone in the woods. There are predators that come out at night: critters and coyotes, snakes and wolves. But the woman in the red jacket has no choice. Not since the Crisis came, decimated the population, and sent those who survived fleeing into quarantine camps that serve as breeding grounds for death, destruction, and disease. She is just a woman trying not to get killed in a world that doesn't look anything like the one she grew up in, the one that was perfectly sane and normal and boring until three months ago.There are worse threats in the woods than the things that stalk their prey at night. Sometimes, there are men. Men with dark desires, weak wills, and evil intents. Men in uniform with classified information, deadly secrets, and unforgiving orders. And sometimes, just sometimes, there's something worse than all of the horrible people and vicious beasts combined. Red doesn't like to think of herself as a killer, but she isn't about to let herself get eaten up just because she is a woman alone in the woods....",Horror,3.72, Berkley,293,Paperback,"June 18th, 2019",https://www.goodreads.com/book/show/42881101-the-girl-in-red?from_choice=true
103,The Invited,Jennifer  McMahon," A chilling ghost story with a twist: the   New York Times   bestselling author of   The Winter People   returns to the woods of Vermont to tell the story of a husband and wife who don't simply move into a haunted house, they start building one from scratch, without knowing it, until it's too late . . .  In a quest for a simpler life, Helen and Nate abandon the comforts of

A chilling ghost story with a twist: the 

New York Times

 bestselling author of 

The Winter People

 returns to the woods of Vermont to tell the story of a husband and wife who don't simply move into a haunted house, they start building one from scratch, without knowing it, until it's too late . . . 
In a quest for a simpler life, Helen and Nate abandon the comforts of suburbia and their teaching jobs to take up residence on forty-four acres of rural land where they will begin the ultimate, aspirational do-it-yourself project: building the house of their dreams. When they discover that this charming property has a dark and violent past, Helen, a former history teacher, becomes consumed by the legend of Hattie Breckenridge, a woman who lived and died there a century ago. As Helen starts carefully sourcing decorative building materials for her home--wooden beams, mantles, historic bricks--she starts to unearth, and literally conjure, the tragic lives of Hattie's descendants, three generations of ""Breckenridge women,"" each of whom died amidst suspicion, and who seem to still be seeking something precious and elusive in the present day.",Horror,3.79,Doubleday,353,Hardcover,"April 30th, 2019",https://www.goodreads.com/book/show/40065317-the-invited?from_choice=true
104,The Lost Causes of Bleak Creek,Rhett McLaughlin,"It's 1992 in Bleak Creek, North Carolina, a sleepy little place with all the trappings of an ordinary Southern town: two Baptist churches, friendly smiles coupled with silent judgments, and a seemingly unquenchable appetite for pork products. Beneath the towns cheerful façade, however, Bleak Creek teens live in constant fear of being sent to The Whitewood School, a local
It's 1992 in Bleak Creek, North Carolina, a sleepy little place with all the trappings of an ordinary Southern town: two Baptist churches, friendly smiles coupled with silent judgments, and a seemingly unquenchable appetite for pork products. Beneath the town’s cheerful façade, however, Bleak Creek teens live in constant fear of being sent to The Whitewood School, a local reformatory with a record of putting unruly teens back on the straight and narrow—a record so impeccable that almost everyone is willing to ignore the mysterious deaths that have occurred there over the past decade.At first, high school freshmen Rex McClendon and Leif Nelson believe what they’ve been told—that the students’ strange demises were all tragic accidents. But when the shoot for their low-budget horror masterpiece, PolterDog, goes horribly awry—and their best friend, Candice Boykins, is sent to Whitewood as punishment—Rex and Leif are forced to question everything they know about their unassuming hometown and its cherished school for delinquents. Eager to rescue their friend, Rex and Leif pair up with recent NYU film school grad Janine Blitstein to begin piecing together the unsettling truth of the school and its mysterious founder, Wayne Whitewood. What they find, with Candice’s life hanging in the balance, will leave them battling an evil beyond their wildest teenage imaginations—one that will shake Bleak Creek to its core.",Horror,4.03,Crown,326,Hardcover,"October 29th, 2019",https://www.goodreads.com/book/show/44034616-the-lost-causes-of-bleak-creek?from_choice=true
105,Full Throttle,Joe Hill,"A little door that opens to a world of fairy tale wonders becomes the blood-drenched stomping ground for a gang of hunters in Faun. A grief-stricken librarian climbs behind the wheel of an antique Bookmobile to deliver fresh reads to the dead in Late Returns. In By the Silver Water of Lake Champlain, two young friends stumble on the corpse of a plesiosaur at the waters
A little door that opens to a world of fairy tale wonders becomes the blood-drenched stomping ground for a gang of hunters in “Faun.” A grief-stricken librarian climbs behind the wheel of an antique Bookmobile to deliver fresh reads to the dead in “Late Returns.” In “By the Silver Water of Lake Champlain,” two young friends stumble on the corpse of a plesiosaur at the water’s edge, a discovery that forces them to confront the inescapable truth of their own mortality . . . and other horrors that lurk in the water’s shivery depths. And tension shimmers in the sweltering heat of the Nevada desert as a faceless trucker finds himself caught in a sinister dance with a tribe of motorcycle outlaws in “Throttle,” co-written with Stephen King.",Horror,4.05,William Morrow,480,Hardcover,"October 1st, 2019",https://www.goodreads.com/book/show/43801817-full-throttle?from_choice=true
106,Bunny,Mona Awad,"Samantha Heather Mackey couldn't be more of an outsider in her small, highly selective MFA program at New England's Warren University. A scholarship student who prefers the company of her dark imagination to that of most people, she is utterly repelled by the rest of her fiction writing cohort--a clique of unbearably twee rich girls who call each other ""Bunny,"" and seem to
Samantha Heather Mackey couldn't be more of an outsider in her small, highly selective MFA program at New England's Warren University. A scholarship student who prefers the company of her dark imagination to that of most people, she is utterly repelled by the rest of her fiction writing cohort--a clique of unbearably twee rich girls who call each other ""Bunny,"" and seem to move and speak as one. But everything changes when Samantha receives an invitation to the Bunnies' fabled ""Smut Salon,"" and finds herself inexplicably drawn to their front door--ditching her only friend, Ava, in the process. As Samantha plunges deeper and deeper into the Bunnies' sinister yet saccharine world, beginning to take part in the ritualistic off-campus ""Workshop"" where they conjure their monstrous creations, the edges of reality begin to blur. Soon, her friendships with Ava and the Bunnies will be brought into deadly collision. The spellbinding new novel from one of our most fearless chroniclers of the female experience, Bunny is a down-the-rabbit-hole tale of loneliness and belonging, friendship and desire, and the fantastic and terrible power of the imagination.",Horror,3.49,Viking,307,Hardcover,"June 11th, 2019",https://www.goodreads.com/book/show/42815544-bunny?from_choice=true
107,Wakenhyrst,Michelle Paver,"1906: A large manor house, Wake's End, sits on the edge of a bleak Fen, just outside the town of Wakenhyrst. It is the home of Edmund Stearn and his family  a historian, scholar and land-owner, he's an upstanding member of the local community. But all is not well at Wake's End. Edmund dominates his family tyrannically, in particular daughter Maud. When Maud's mother dies
1906: A large manor house, Wake's End, sits on the edge of a bleak Fen, just outside the town of Wakenhyrst. It is the home of Edmund Stearn and his family – a historian, scholar and land-owner, he's an upstanding member of the local community. But all is not well at Wake's End. Edmund dominates his family tyrannically, in particular daughter Maud. When Maud's mother dies in childbirth and she's left alone with her strict, disciplinarian father, Maud's isolation drives her to her father's study, where she happens upon his diary.During a walk through the local church yard, Edmund spots an eye in the undergrowth. His terror is only briefly abated when he discovers its actually a painting, a 'doom', taken from the church. It's horrifying in its depiction of hell, and Edmund wants nothing more to do with it despite his historical significance. But the doom keeps returning to his mind. The stench of the Fen permeates the house, even with the windows closed. And when he lies awake at night, he hears a scratching sound – like claws on the wooden floor...Wakenhyrst is a terrifying ghost story, an atmospheric slice of gothic, a brilliant exploration of the boundaries between the real and the supernatural, and a descent into the mind of a psychopath.",Horror,3.93,Head of Zeus,359,Hardcover,April 11th 2019,https://www.goodreads.com/book/show/40725252-wakenhyrst?from_choice=true
108,The Twisted Ones,T. Kingfisher,"When a young woman clears out her deceased grandmothers home in rural North Carolina, she finds long-hidden secrets about a strange colony of beings in the woods.When Mouses dad asks her to clean out her dead grandmother's house, she says yes. After all, how bad could it be? Answer: pretty bad. Grandma was a hoarder, and her house is stuffed with useless rubbish. That
When a young woman clears out her deceased grandmother’s home in rural North Carolina, she finds long-hidden secrets about a strange colony of beings in the woods.When Mouse’s dad asks her to clean out her dead grandmother's house, she says yes. After all, how bad could it be? Answer: pretty bad. Grandma was a hoarder, and her house is stuffed with useless rubbish. That would be horrific enough, but there’s more—Mouse stumbles across her step-grandfather’s journal, which at first seems to be filled with nonsensical rants…until Mouse encounters some of the terrifying things he described for herself. Alone in the woods with her dog, Mouse finds herself face to face with a series of impossible terrors—because sometimes the things that go bump in the night are real, and they’re looking for you. And if she doesn’t face them head on, she might not survive to tell the tale. From Hugo Award–winning author Ursula Vernon, writing as T. Kingfisher.",Horror,3.68,Gallery / Saga Press,381,Hardcover,"October 1st, 2019",https://www.goodreads.com/book/show/42527596-the-twisted-ones?from_choice=true
109,A Cosmology of Monsters,Shaun Hamill,"A tender and terrifying literary horror novel - the author's debut - that tells the story of a family (creators of a haunted house attraction called the Wandering Dark) and the hereditary monsters - both metaphorical and all-too-real - that haunt them.Monsters both figurative and very literal stalk the Turner family. The youngest child, Noah, narrates the family history:
A tender and terrifying literary horror novel - the author's debut - that tells the story of a family (creators of a haunted house attraction called the Wandering Dark) and the hereditary monsters - both metaphorical and all-too-real - that haunt them.Monsters both figurative and very literal stalk the Turner family. The youngest child, Noah, narrates the family history: how in the late '60s, his bookish mother Margaret marries Lovecraft-lover Harry against her better judgment. The couple has two daughters - Sydney, born for the spotlight, and the brilliant but awkward Eunice, a natural writer and storyteller. But finances are tight, Margaret and Eunice are haunted by horrific dreams, and Harry starts acting strangely. He becomes obsessed with the construction of an elaborately crafted haunted house attraction, christened the Wandering Dark. The family tries to shield baby Noah from the house's faux horrors, but unbeknownst to them, he's being visited by a furry beast with glowing orange eyes - the same ghastly being glimpsed by both his mother and sister. However, unlike them, Noah decides to let the creature in...As he approaches the conclusion of his family's tale, it becomes more and more apparent that there's only one way the story can end: with Noah making the ultimate sacrifice.",Horror,3.85,Pantheon Books,336,Hardcover,"September 17th, 2019",https://www.goodreads.com/book/show/43506916-a-cosmology-of-monsters?from_choice=true
110,No One's Home,D.M. Pulley,"For fans of The Haunting of Hill House comes a dark tale of a mansion haunted by a legacy of tragedy and a family trapped by lies.Margot and Myron Spielman move to a new town, looking for a fresh start and an escape from the long shadow of their past. But soon after they buy Rawlingswood, a foreclosed mansion rumored to be haunted, they realize theyre in for more of the
For fans of The Haunting of Hill House comes a dark tale of a mansion haunted by a legacy of tragedy and a family trapped by lies.Margot and Myron Spielman move to a new town, looking for a fresh start and an escape from the long shadow of their past. But soon after they buy Rawlingswood, a foreclosed mansion rumored to be haunted, they realize they’re in for more of the same…or worse.After a renovation fraught with injuries and setbacks, the Spielmans move in to the century-old house, and their problems quickly escalate. The home’s beautiful facade begins to crumble around them when their teenage son uncovers disturbing details of Rawlingswood’s history—a history of murder, betrayal, and financial ruin. The Spielmans’ own shameful secrets and lies become harder to hide as someone or something inside the house watches their every move.As tensions build between the family members, the home’s dark history threatens to repeat itself. Margot and Myron must confront their own ghosts and Rawlingswood’s buried past before the house becomes their undoing.",Horror,3.93,Thomas & Mercer,400,Paperback,"September 1st, 2019",https://www.goodreads.com/book/show/43706714-no-one-s-home?from_choice=true
111,Growing Things and Other Stories,Paul Tremblay,"A chilling anthology featuring nineteen pieces of short fiction from the multiple award-winning author of the national bestseller The Cabin at the End of the World and A Head Full of Ghosts.In The Teacher, a Bram Stoker Award nominee for best short story, a student is forced to watch a disturbing video that will haunt and torment her and her classmates lives.Four men rob a
A chilling anthology featuring nineteen pieces of short fiction from the multiple award-winning author of the national bestseller The Cabin at the End of the World and A Head Full of Ghosts.In “The Teacher,” a Bram Stoker Award nominee for best short story, a student is forced to watch a disturbing video that will haunt and torment her and her classmates’ lives.Four men rob a pawn shop at gunpoint only to vanish, one-by-one, as they speed away from the crime scene in “The Getaway.”In “Swim Wants to Know If It’s as Bad as Swim Thinks,” a meth addict kidnaps her daughter from her estranged mother as their town is terrorized by a giant monster . . . or not.Joining these haunting works are stories linked to Tremblay’s previous novels. The tour de force metafictional novella “Notes from the Dog Walkers” deconstructs horror and publishing, possibly bringing in a character from A Head Full of Ghosts, all while serving as a prequel to Disappearance at Devil’s Rock. “The Thirteenth Temple” follows another character from A Head Full of Ghosts—Merry, who has published a tell-all memoir written years after the events of the novel. And the title story, “Growing Things,” a shivery tale loosely shared between the sisters in A Head Full of Ghosts, is told here in full.From global catastrophe to the demons inside our heads, Tremblay illuminates our primal fears and darkest dreams in startlingly original fiction that leaves us unmoored. As he lowers the sky and yanks the ground from beneath our feet, we are compelled to contemplate the darkness inside our own hearts and minds.“Paul Tremblay has mastered creepy, interstitial spaces with his own brand of supernatural-adjacent horror. This collection proves again that in any form, at any length, Tremblay is a must-read.” —Chuck Wendig, New York Times bestselling author of Wanderers and Invasive“Both wildly entertaining and deeply unsettling, Paul Tremblay’s writing has a way of sneaking under your skin and messing with your head. Superb. Can’t rate it highly enough.” —Sarah Lotz, author of The Three and The White Road“A skilled purveyor of the uncanny who always seeks meaning amidst the fear, Paul Tremblay is one of the key writers who have made modern horror exciting again.” —Adam Nevill, author of The Ritual“These aren’t just stories - they’re spirits that linger, shadows that haunt, terrors that follow you even after you’ve closed the book. . . Growing Things is a collection of Paul Tremblay’s most searing and powerful work yet.” —Christina Henry, author of Alice and The Girl in Red",Horror,3.53,William Morrow,352,Hardcover,"July 2nd, 2019",https://www.goodreads.com/book/show/42118050-growing-things-and-other-stories?from_choice=true
112,Song for the Unraveling of the World,Brian Evenson,"A newborn's absent face appears on the back of someone else's head, a filmmaker goes to gruesome lengths to achieve the silence he's after for his final scene, and a therapist begins, impossibly, to appear in a troubled patient's room late at night. In these stories of doubt, delusion, and paranoia, no belief, no claim to objectivity, is immune to the distortions of human
A newborn's absent face appears on the back of someone else's head, a filmmaker goes to gruesome lengths to achieve the silence he's after for his final scene, and a therapist begins, impossibly, to appear in a troubled patient's room late at night. In these stories of doubt, delusion, and paranoia, no belief, no claim to objectivity, is immune to the distortions of human perception. Here, self-deception is a means of justifying our most inhuman impulses--whether we know it or not.",Horror,3.90,Coffee House Press,240,Paperback,"June 11th, 2019",https://www.goodreads.com/book/show/41888678-song-for-the-unraveling-of-the-world?from_choice=true
113,The Toll,Cherie Priest,"From Cherie Priest, the author of The Family Plot and Maplecroft, comes The Toll, a tense, dark, and scary treat for modern fans of the traditionally strange and macabre.State Road 177 runs along the Suwannee River, between Fargo, Georgia, and the Okefenokee Swamp. Drive that route from east to west, and youll cross six bridges. Take it from west to east, and you might
From Cherie Priest, the author of The Family Plot and Maplecroft, comes The Toll, a tense, dark, and scary treat for modern fans of the traditionally strange and macabre.State Road 177 runs along the Suwannee River, between Fargo, Georgia, and the Okefenokee Swamp. Drive that route from east to west, and you’ll cross six bridges. Take it from west to east, and you might find seven.But you’d better hope not.Titus and Melanie Bell leave their hotel in Fargo for a second honeymoon canoeing the Okefenokee Swamp. But shortly before they reach their destination, they draw up to a halt at the edge of a rickety bridge with old stone pilings, with room for only one car . . .When, much later, a tow-truck arrives, the driver finds Titus lying in the middle of the road, but Melanie is nowhere to be found.",Horror,3.41,Tor Books,336,Paperback,"July 9th, 2019",https://www.goodreads.com/book/show/41555927-the-toll?from_choice=true
114,Violet,Scott   Thomas,"In the lineage of Peter Straub's Julia, Scott Thomas Violet is the disturbing tale of a woman haunted by her long-abandoned imaginary friend. For many children, the summer of 1988 was filled with sunshine and laughter. But for ten-year-old Kris Barlow, it was her chance to say goodbye to her dying mother. Three decades later, loss returnsher husband killed in a car
In the lineage of Peter Straub's Julia, Scott Thomas’ Violet is the disturbing tale of a woman haunted by her long-abandoned imaginary friend. For many children, the summer of 1988 was filled with sunshine and laughter. But for ten-year-old Kris Barlow, it was her chance to say goodbye to her dying mother. Three decades later, loss returns—her husband killed in a car accident. And so, Kris goes home to the place where she first knew pain—to that summer house overlooking the crystal waters of Lost Lake. It’s there that Kris and her eight-year-old daughter will make a stand against grief. But a shadow has fallen over the quiet lake town of Pacington, Kansas. Beneath its surface, an evil has grown—and inside that home where Kris Barlow last saw her mother, an old friend awaits her return.",Horror,3.56,Inkshares,437,Paperback,"September 24th, 2019",https://www.goodreads.com/book/show/44349541-violet?from_choice=true
115,The Remaking,Clay McLeod Chapman,"Inspired by a true story, this supernatural thriller for fans of horror and true crime follows a tale as it evolves every twenty yearswith terrifying results.Ella Louise has lived in the woods surrounding Pilots Creek, Virginia, for nearly a decade. Publicly, she and her daughter Jessica are shunned by their upper-crust family and the Pilots Creek residents. Privately,
Inspired by a true story, this supernatural thriller for fans of horror and true crime follows a tale as it evolves every twenty years—with terrifying results.Ella Louise has lived in the woods surrounding Pilot’s Creek, Virginia, for nearly a decade. Publicly, she and her daughter Jessica are shunned by their upper-crust family and the Pilot’s Creek residents. Privately, desperate townspeople visit her apothecary for a cure to what ails them—until Ella Louise is blamed for the death of a prominent customer. Accused of witchcraft, both mother and daughter are burned at the stake in the middle of the night. Ella Louise’s burial site is never found, but the little girl has the most famous grave in the South: a steel-reinforced coffin surrounded by a fence of interconnected white crosses.Their story will take the shape of an urban legend as it’s told around a campfire by a man forever marked by his boyhood encounters with Jessica. Decades later, a boy at that campfire will cast Amber Pendleton as Jessica in a ’70s horror movie inspired by the Witch Girl of Pilot’s Creek. Amber’s experiences on that set and its meta-remake in the ’90s will ripple through pop culture, ruining her life and career after she becomes the target of a witch hunt. Amber’s best chance to break the cycle of horror comes when a true-crime investigator tracks her down to interview her for his popular podcast. But will this final act of storytelling redeem her—or will it bring the story full circle, ready to be told once again? And again. And again…",Horror,3.31,Quirk Books,320,Hardcover,"October 8th, 2019",https://www.goodreads.com/book/show/44791629-the-remaking?from_choice=true
116,The Monster of Elendhaven,Jennifer Giesbrecht,"The city of Elendhaven sulks on the edge of the ocean. Wracked by plague, abandoned by the South, stripped of industry and left to die. But not everything dies so easily. A thing without a name stalks the city, a thing shaped like a man, with a dark heart and long pale fingers yearning to wrap around throats. A monster who cannot die. His frail master sends him out on
The city of Elendhaven sulks on the edge of the ocean. Wracked by plague, abandoned by the South, stripped of industry and left to die. But not everything dies so easily. A thing without a name stalks the city, a thing shaped like a man, with a dark heart and long pale fingers yearning to wrap around throats. A monster who cannot die. His frail master sends him out on errands, twisting him with magic, crafting a plan too cruel to name, while the monster’s heart grows fonder and colder and more cunning.These monsters of Elendhaven will have their revenge on everyone who wronged the city, even if they have to burn the world to do it.",Horror,3.56,Tor.com,160,Hardcover,"September 24th, 2019",https://www.goodreads.com/book/show/43263515-the-monster-of-elendhaven?from_choice=true
117,The Luminous Dead,Caitlin  Starling,"A thrilling, atmospheric debut with the intensive drive of The Martian and Gravity and the creeping dread of Annihilation, in which a caver on a foreign planet finds herself on a terrifying psychological and emotional journey for survival.When Gyre Price lied her way into this expedition, she thought shed be mapping mineral deposits, and that her biggest problems would be
A thrilling, atmospheric debut with the intensive drive of The Martian and Gravity and the creeping dread of Annihilation, in which a caver on a foreign planet finds herself on a terrifying psychological and emotional journey for survival.When Gyre Price lied her way into this expedition, she thought she’d be mapping mineral deposits, and that her biggest problems would be cave collapses and gear malfunctions. She also thought that the fat paycheck—enough to get her off-planet and on the trail of her mother—meant she’d get a skilled surface team, monitoring her suit and environment, keeping her safe. Keeping her sane.Instead, she got Em.Em sees nothing wrong with controlling Gyre’s body with drugs or withholding critical information to “ensure the smooth operation” of her expedition. Em knows all about Gyre’s falsified credentials, and has no qualms using them as a leash—and a lash. And Em has secrets, too . . .As Gyre descends, little inconsistencies—missing supplies, unexpected changes in the route, and, worst of all, shifts in Em’s motivations—drive her out of her depths. Lost and disoriented, her control giving way to paranoia and anger, Gyre severs her connection with Em and the outside world. On her own in this mysterious, deadly place, surrounded by darkness and the unknown, Gyre must overcome more than just the dangerous terrain and the Tunneler which calls underground its home if she wants to make it out alive—she must confront the ghosts in her own head.But how come she can’t shake the feeling she’s being followed?",Horror,3.72,Harper Voyager,415,Paperback,"April 2nd, 2019",https://www.goodreads.com/book/show/40696751-the-luminous-dead?from_choice=true
118,The Need,Helen          Phillips,"When Molly, home alone with her two young children, hears footsteps in the living room, she tries to convince herself its the sleep deprivation. Shes been hearing things these days. Startling at loud noises. Imagining the worst-case scenario. Its what mothers do, she knows. But then the footsteps come again, and she catches a glimpse of movement. Suddenly Molly finds
When Molly, home alone with her two young children, hears footsteps in the living room, she tries to convince herself it’s the sleep deprivation. She’s been hearing things these days. Startling at loud noises. Imagining the worst-case scenario. It’s what mothers do, she knows. But then the footsteps come again, and she catches a glimpse of movement. Suddenly Molly finds herself face-to-face with an intruder who knows far too much about her and her family. As she attempts to protect those she loves most, Molly must also acknowledge her own frailty. Molly slips down an existential rabbit hole where she must confront the dualities of motherhood: the ecstasy and the dread; the languor and the ferocity; the banality and the transcendence as the book hurtles toward a mind-bending conclusion. In The Need, Helen Phillips has created a subversive, speculative thriller that comes to life through blazing, arresting prose and gorgeous, haunting imagery. Anointed as one of the most exciting fiction writers working today, The Need is a glorious celebration of the bizarre and beautiful nature of our everyday lives.",Fiction,3.19,Simon  Schuster,272,Hardcover,"July 9th, 2019",https://www.goodreads.com/book/show/42201850-the-need?from_choice=true
